start,end,speaker,emotion_raw,emotion,confidence,text_sentiment,text_sent_conf,audio_valence,audio_arousal,text_valence,valence_fused,fused_sentiment,affect_label,attitude_label,state_label,rms_energy,zcr,duration,speaking_rate,f0_mean,f0_std,voiced_ratio,text
0.16,8.55,0,sad,sad,0.6836,neutral,0.5068,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.062956,0.079491,8.390,5.483,153.456,39.741,0.715,어 벗어나서 조금 더 이제 탄력적으로 토론을 하는 방식을 조금 실험을 한번 해보고 싶은 것도 있어서 그런 거니까.
11.13,26.66,0,sad,sad,0.8499,neutral,0.5796,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.042161,0.067371,15.539,4.440,171.279,44.345,0.675,"네, 그러면 두 가지인데 지금 나온 이야기를 좀 종합해 보자면 강점이 그 강점을 가지고 있는 게 소수일 수 있다. 그리고 그 강점이 한편으로는 실행에 급급했던 것이 있고."
27.00,39.53,0,sad,sad,0.8646,negative,0.4942,0.0000,0.0000,-0.4942,-0.2471,overall_neutral,중립,중립,보통,0.050357,0.051337,12.535,6.063,147.950,35.171,0.791,뭐 그 외에 실행에 수반되는 뭐 명확한 가설이라든가 분석이라든가 혹은 뭐 회고라든가 이런 부분들이 좀 약했다. 그까 그 강점을 강점대로 두되 그런 부분을 보강해야 된다이런 거잖아요.
39.55,52.20,0,sad,sad,0.5407,negative,0.3819,0.0000,0.0000,-0.3819,-0.1910,overall_neutral,중립,중립,피곤/권태,0.044186,0.069714,12.652,4.821,160.603,37.799,0.649,"그러면 만약에 그 강점 보강한다고 치자. 그러면 어, 그 까 제가 여기 잠깐 끊고 제가 이제 어쩔 수 없이 이제 계속 이런 좀 이야기를 하게 되는 것 같은데."
52.92,65.44,0,sad,sad,0.5871,negative,0.5877,0.0000,0.0000,-0.5877,-0.2939,overall_negative,짜증/불만,중립,몰입/열정,0.059353,0.057510,12.520,6.390,159.930,42.449,0.737,"저도 제가 하는 얘기라든가 논조라든가 억양이 되게 센지 어떤지를 잘 모르겠어요. 이제 어떻게 딱 각각이 받아들이기에 너무 이제 논조가 세다, 혹은 이렇게 너무 푸시한다 이렇게 느낄 수 있는데."
65.44,76.42,0,sad,sad,0.4949,neutral,0.4224,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.053676,0.061924,10.978,6.650,179.488,39.640,0.576,"사실 그런 거 보다가는 제 스스로는 그냥 이 내용에 집중하고 있는 거거든요, 토론에. 그래서 인제 감정적이지 않은데 이게 좀 후시한다고 느낄 수 있는데 어, 그렇지는 않습니다."
76.58,92.83,0,sad,sad,0.7263,positive,0.4080,0.0000,0.0000,0.4080,0.2040,overall_neutral,중립,공감/배려,피곤/권태,0.043709,0.059301,16.248,4.554,180.578,42.035,0.608,"그래서 인제 그게 뭐 불편하면 따로 얘기를 해주셔도 되고요. 어, 일단 그럼 다시 돌아가서 어, 그럼 강점이 소수일 수 있다면 그럼 지금은 그 소수를 믿고 달리는 것이 중요하겠네요."
93.65,96.53,0,hap,hap,0.4542,positive,0.5997,0.0000,0.0000,0.5997,0.2998,overall_positive,긍정/낙관,공감/배려,보통,0.064607,0.045378,2.880,6.250,169.565,24.753,0.835,그것이 우리에게 더 적합한 전략이겠네요.
99.03,102.35,1,hap,hap,0.7736,neutral,0.5335,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.044691,0.057500,3.320,4.217,210.798,47.083,0.837,이게 그 그 길만이 있지는 않겠죠.
102.61,110.75,0,sad,sad,0.4302,neutral,0.5135,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.057406,0.061772,8.140,4.914,195.042,42.332,0.741,"어, 그렇죠. 그런 전략도 있으 음 선택할 수 있겠죠. 강점이 있는 소수의 소수에 집중하는 방식."
110.86,123.92,0,sad,sad,0.5444,positive,0.4437,0.0000,0.0000,0.4437,0.2219,overall_neutral,중립,공감/배려,긴장,0.062885,0.054646,13.058,5.897,180.015,35.024,0.895,그니까 전반적인 참여와 이렇게 동기부여 물론 끌어내겠지만 만약에 선택을 해야 되는 입장이라면 그쪽보다가는 지금. 소수의 강한 강점과 분명한 장점을 가지고 있는 사람들을 밀어주고.
123.92,136.66,0,sad,sad,0.7861,neutral,0.4805,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.048948,0.050764,12.738,4.789,167.428,40.176,0.649,그들 중심으로 진행이 되게끔 하는 것과 두 가지 방식이 선택에 있다면 어느 쪽이 더 맞을 것. 같아요. 이건 저도 진짜 정답은 없고 모르겠고 이런 건데.
140.75,153.33,2,sad,sad,0.7220,negative,0.7479,0.0000,0.0000,-0.7479,-0.3739,overall_negative,짜증/불만,중립,긴장,0.083565,0.085151,12.580,5.803,212.692,73.544,0.764,"강점이 있는 소수가 움직이는 건 단기적으로 빠른 효과를 볼 수 있지만, 장기적으로 봤을 때 그 사람들이 없다면 그 문화가 또 사라지겠잖아요. 그러면 좋지 않은 거라고 생각해요."
154.53,164.13,1,sad,sad,0.6537,negative,0.4374,0.0000,0.0000,-0.4374,-0.2187,overall_neutral,중립,중립,피곤/권태,0.035605,0.084992,9.605,5.518,224.826,47.817,0.847,저도 그거에 플러스를 이제 되게 무너지기 쉬운 조직이 그 윗사람 뭐 윗사람이라고 하면 그렇지만 그렇게 열심히 하는 사람이 있고.
164.43,178.52,1,sad,sad,0.9117,negative,0.6645,0.0000,0.0000,-0.6645,-0.3322,overall_negative,짜증/불만,중립,긴장,0.033144,0.082360,14.088,5.324,233.326,42.008,0.730,그 같이 따라와줘야 되는 사람이 그렇지 않으면은 이제 또 열심히 하는 사람도 엄청 더 한계가 있을 거고. 뭐 계속 그냥 나는 미친 듯이 나만 할 거야. 이렇지도 할 수도 없는 부분이잖아요.
179.26,187.80,1,sad,sad,0.9266,neutral,0.3871,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.023272,0.084727,8.540,6.323,210.966,31.333,0.824,그래서 되게 무너지기 쉬운 조직일 수도 있을 것 같다는 생각이 드네요. 지수님 말씀하신 것처럼 단기로 했을 때는 괜찮긴 하겠지만.
188.72,200.33,0,sad,sad,0.6347,neutral,0.4593,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.051271,0.059892,11.611,5.512,181.302,39.267,0.656,"근데 그럴 수도 있잖아요. 꼭. 그 소수의 강점을 가진 사람들을 푸시하고, 그들 중심으로 간다는 것이 꼭 가치라는 사람들을 배제한다는는 건 아니거든요."
200.63,206.74,0,sad,sad,0.7691,neutral,0.5358,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.056725,0.054677,6.110,6.219,166.944,32.529,0.859,"그니까 그들이 가진 의사결정과 그들 중심의 소통, 그들을 신뢰할 수 있는 조직 구조인 거죠."
207.20,216.08,0,sad,sad,0.9085,neutral,0.4769,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.063879,0.057299,8.880,6.757,173.502,44.930,0.863,"예를 들면 지금은 예를 들면 리더들은 명확한 리더십을 발휘하는 것이 그니까 이 이럴 수 있어요, 그 까 수평적인 조직 구조에서 다 같이 의견을 내고."
216.08,229.05,0,sad,sad,0.8886,neutral,0.4651,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.058233,0.060048,12.969,5.783,162.789,37.658,0.842,"거기에서 어떤 결론을 도출해서 시간이 걸리더라도 그렇게 가는 방식이 있을 수 있지만, 그것이 아니라 의사결정은 리더들이 한다. 왜냐하면 지금 우리의 강점은 실행력이고 속도다."
229.36,238.26,0,sad,sad,0.8474,neutral,0.6115,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.066661,0.052911,8.900,6.629,183.375,40.279,0.835,왜냐하면 글로벌 시장은 모르기 때문이다. 일단 찍먹을 해봐야 우리는 알 수 있으니까 그 찍먹을 할 때까지 우리한테 뭔가 유효한 데이터라든가.
238.26,247.93,0,sad,sad,0.9155,positive,0.4682,0.0000,0.0000,0.4682,0.2341,overall_neutral,중립,공감/배려,보통,0.055850,0.058329,9.673,6.410,179.401,39.902,0.729,노하우가 쌓이기 전까지는 전략적으로 리더 중심으로 실행력을 키운다. 대신에 그래서 실행을 하는 사람들은 팔로오십을 팔로 오십 이 조금 더 가진다.
248.30,259.23,0,sad,sad,0.8834,neutral,0.5349,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.066517,0.045713,10.930,6.862,190.659,39.093,0.860,그런데 욕망을 억누르거나 이제 이야기할 발언을 억누르라는 게 아니라 선택은 가지만 발언은 할 수 있다. 그렇지만 그런 선택을 했다는 걸 이해하는 조직 문화를 추구할 수도 있잖아요.
261.22,276.67,0,sad,sad,0.4581,neutral,0.4427,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.045055,0.058575,15.449,4.207,167.866,39.072,0.598,"이것이 이것이 저는 인제, 그 소수의 리더가 아닌 팔로우드 까, 실무자들을 어 배제하는 방식의 진행 방식은 아니라고 생각을 하거든요. 그럴 수도 있지 않나."
277.24,282.94,2,sad,sad,0.5172,neutral,0.5662,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.081358,0.075225,5.700,4.737,223.637,77.589,0.788,음 실장님이 말씀하시는 소수의 강점이라는 게 리더들 얘기하는.
284.67,289.81,0,sad,sad,0.5624,neutral,0.4237,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,확신/단정,보통,0.074867,0.067098,5.140,6.420,185.328,38.669,0.540,"거확실네, 이 강점, 지금 제가 하는 얘기는 사실 준비돼서 온 얘기는 아니에요."
289.85,296.64,0,sad,sad,0.9130,neutral,0.5824,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.064739,0.060907,6.790,7.364,174.052,40.425,0.850,저도 이제 대화를 하면서 인제 하는 얘기인데 지금 소수의 강점은 뭐냐 하면 이 대화에서 나온 이 강점을 가지고 있는 사람들.
296.75,308.52,0,sad,sad,0.6774,neutral,0.5537,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.055489,0.058435,11.774,5.181,158.481,33.303,0.677,"우리가 지금 언급한 이 빠른 실행력과 이제 리딩 능력을 가진 사람들이 소수일 수 있다. 그러면 그 소수 그게 리더일 수도 있고, 뭐 뭐 씨디일 수도 있고."
308.70,316.56,0,sad,sad,0.6111,positive,0.4841,0.0000,0.0000,0.4841,0.2421,overall_neutral,중립,공감/배려,보통,0.061161,0.051712,7.860,6.107,163.758,30.107,0.813,뭔가를 인제 캐치하고 진행할 수 있는 그 능력을 가진 사람들이 그니까 이 우리가 강점이라고 이야기한 대상들이겠죠.
319.25,330.22,1,neu,neu,0.7327,neutral,0.5297,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.058118,0.064894,10.970,5.378,223.132,47.102,0.959,"저는 그리고 사실 실장님이 표현하신 그 리더라는 표현이 뭔가? 그 정말 팩트 기반의 그 조직도상의 그런 의미로 사용하신 게 아니라 음, 그까 막."
330.22,342.68,1,sad,sad,0.5167,neutral,0.4464,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.059211,0.066639,12.456,5.861,201.799,34.319,0.831,"그래서 지금 코코네 엠의 조직도상 리더로 인사 이런 의미로 쓰신 게 아니라 어 뭔가 현장에서 어 그냥 정말 지금 우리가 적은 강점을 갖고 있고, 그 사람이 지금 맡은 범주 내에서 저런."
342.68,348.15,1,neu,neu,0.6221,neutral,0.6067,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.049975,0.062940,5.470,6.033,197.148,47.312,0.877,"것들을 실천하고 있는 사람. 음, 그냥 이런 의미로 받아들였어요, 저는 음 음."
352.65,353.05,0,neu,neu,0.4646,neutral,0.4641,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.071714,0.075684,0.400,15.000,195.755,7.954,0.538,그렇습니다.
353.05,371.56,0,sad,sad,0.9162,neutral,0.5122,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.042303,0.066469,18.509,5.025,167.364,61.533,0.648,혹시 여기에 더 얘기하실 게 없으면 다른 관점의 얘기를 살짝 또 해보려고 하는데 어 에이비유에 대해서 인제 생각을 하다가 캐클럽을 하면서 캐클럽을 테스트해보면서 저는 캐클럽이 굉장히 게임 같다라는 생각을 많이 했었거든요.
372.58,383.51,0,hap,hap,0.3481,negative,0.6148,0.0000,0.0000,-0.6148,-0.3074,overall_negative,부정/우려,중립,긴장,0.055726,0.060288,10.930,5.855,157.985,42.475,0.766,이 특히 최근에 이제 저희가 인제 어 이런 걸 하면서 읽은 책 중에 이제 보상이 가지는 내적 동기부에 대해서 얘기를 했었잖아요. 보상은 좀 한편 위험할 수 있다.
383.83,390.17,0,sad,sad,0.7061,neutral,0.5388,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.064602,0.060189,6.340,7.413,158.787,30.139,0.874,왜냐하면 보상으로서 동기가 작동하기 시작하면 그다음부터는 이제 보상이 없이는 움직이지 않는다는 것이 인제.
390.17,398.96,0,sad,sad,0.5118,neutral,0.5022,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.053184,0.060948,8.790,5.461,174.988,42.626,0.684,"일반적인 인간의 제 메커니즘인데, 지금 사실 어 캐클럽은 제가 경험하기에는 약간 그렇게 느껴지는 부분이 있어요."
399.02,408.90,0,sad,sad,0.6979,neutral,0.5535,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.054373,0.056555,9.882,6.476,161.214,39.388,0.712,"제 그니까 뭐냐면 명확한 콜렉션 해야 되는 요소들, 그니까 많지가 않으니까 오히려 명확하게 이걸 가져야 된다. 그다음에 에너지를 효율적으로 해야 된다."
408.95,419.24,0,sad,sad,0.8870,neutral,0.5146,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.054365,0.056763,10.290,6.414,178.200,42.089,0.584,"그러니까 딱 머리가 제 기준에서 뇌 구조가 게임적으로 사용하, 가장 효율적으로, 효과적으로 빨리 이걸 달성하는 방법이 뭐지라고 이제 작동하게 되더라고요."
419.27,427.09,0,sad,sad,0.9311,neutral,0.5130,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.050990,0.057583,7.822,5.242,172.620,39.240,0.543,그러면서 한편으로 반대편으로 보면 지금 우리가 글로벌에서 이제 뭔가 에이비유 를 하는 데 있어서.
427.12,443.24,0,sad,sad,0.8477,neutral,0.6390,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.052972,0.056903,16.123,5.582,174.044,36.694,0.786,"다양한 방식의 것들을 다 테스트하는 것이 아니라 가장 핵심적으로 테스트해야 되는 건 결국 에이비 의 본질은 지난번에도 얘기했지만 결국 자기 표현에 좀 자기 표현에 집중되어 있고, 자기 표현이라는 것이 결국 세계관과."
443.24,458.72,0,sad,sad,0.9049,neutral,0.4811,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.046441,0.057340,15.481,4.909,176.064,45.367,0.738,그 세계관에 적합한 아이템으로 기결이 된다라고 저는 이제 좀 느껴졌어요. 그렇다라고 하면 가장 빠르게 테스트해야 되는 건 어쩌면 우리는 세계관과 아바타 시스템 에 집중을 하는 거고.
458.72,472.69,0,sad,sad,0.7053,neutral,0.4971,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.056772,0.061114,13.970,5.154,181.998,40.736,0.698,그 외에 뭐. 다양한 요소들은 일단 확장 가능성이 있는 영역으로. 내버를 조금 좀 부족하더라도. 지금 제가 센트를 센트의 매니저의 입장이라면 그런 생각을 하게 될 것 같아요.
472.69,485.95,0,sad,sad,0.9788,positive,0.5116,0.0000,0.0000,0.5116,0.2558,overall_positive,긍정/낙관,공감/배려,보통,0.057063,0.061453,13.260,5.807,174.623,33.081,0.846,십 일 월 초 중에 오픈을 해야 되는데 체크해보면 오 월부터 했거든요. 본격적으로 하면 오 육 칠 팔 구 십 십 일 해서 한 육. 칠 개월 만에 서비스를 런칭한다는 것도 어마어마하게 대단하긴 한데.
486.36,491.26,0,sad,sad,0.8925,neutral,0.5634,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.060541,0.068680,4.900,6.531,187.298,40.868,0.734,그럼에도 불구하고 지금 지금의 상태를 제가 이제 테스트해 보지 않았습니다.
491.31,501.10,0,hap,hap,0.3977,neutral,0.6026,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.057688,0.054383,9.790,5.822,165.837,41.236,0.631,"이제 그냥 제 경험상에서 봤을 때 무엇이 안정적으로 구현이 되어 있는가, 구현이 되어 있는가 없는가가 아니라 이제 어. 고객으로 하여금."
501.36,508.63,0,sad,sad,0.7849,negative,0.6794,0.0000,0.0000,-0.6794,-0.3397,overall_negative,부정/우려,중립,긴장,0.056784,0.058155,7.276,6.047,160.563,48.542,0.355,그 컨텐츠 기능 자체가 안정적으로 목표와 만족을 줄 수 있는가라고 봤을 때 되게 불안 요소가 많을 것 같애요.
509.33,515.15,0,sad,sad,0.9387,neutral,0.4597,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.053757,0.049966,5.820,7.388,163.887,41.846,0.648,양적인 부분에서도 그럴 것 같고 질적인 부분에서도 그럴 것 같고 안정성 있는 부분에서도 그럴 것 같애요.
516.35,523.55,0,sad,sad,0.7647,neutral,0.4531,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.055345,0.064116,7.200,5.694,189.760,34.297,0.854,그러면 지금의 딱 하나를 선택해서 그것만을 챙겨서 밀어붙인다면 결국은 아마타 시스템이겠구나.
524.15,534.39,0,sad,sad,0.6895,neutral,0.4852,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.059113,0.052760,10.239,5.567,180.943,30.479,0.887,"아마타그까 조금 다른 데에 들어갈 에너지를 조금 더 빼서라도 아마타 물량과 물량도 물량이지만, 왜 왜 고객들이 이 세계관을 느낄 수 있고?"
534.39,542.25,0,sad,sad,0.9261,neutral,0.5866,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.052697,0.069399,7.860,5.598,189.498,26.556,0.728,이 세계관에서 어떤 식으로 나를 꾸미고 싶어 할지에 좀 포커스를 맞추는 데 고민을 집중시킬 어 필요가 있다.
542.25,553.19,0,sad,sad,0.3929,negative,0.6591,0.0000,0.0000,-0.6591,-0.3295,overall_negative,부정/우려,중립,보통,0.048808,0.057804,10.936,5.486,163.249,39.672,0.687,때로는 과감하게 어 이 두 마리 토끼를 잡는 게 개발적인 난항이라든가 리소스적인 난항이 있으면 포기를 할 수도 있겠다 라는 생각까지 들더라고요.
553.67,555.87,1,sad,sad,0.3425,neutral,0.5625,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.041121,0.061764,2.200,8.182,213.768,42.806,0.986,그럼 그런 얘기를 플리님이랑 하신 거예요?
556.77,560.16,0,sad,sad,0.5042,neutral,0.5954,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.030464,0.059223,3.395,4.124,154.930,13.580,0.206,"어 네, 네, 어제 하긴 했었어요."
561.23,575.75,1,sad,sad,0.5166,neutral,0.6199,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.052288,0.064168,14.520,5.785,223.864,46.836,0.855,"데 사실 저는 센트의 상황을 일 도 모르기 때문에 어디까지 했고 뭐 플리님이 지금 현재 시점에서 명칭까지는 남은 기간이 한정적으로 남아있는데, 그건 지금 시점에서 플리님이 생각하는 또는 마리킴 작가님."
575.77,584.40,1,neu,neu,0.6188,neutral,0.5055,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.052689,0.064146,8.630,5.330,205.266,24.024,0.878,그 까 씨디가 생각하는 그 우선순위의 제일 꼭대기에 아바타 표현이 있는가 아니라 다른 거라면 그게 뭔지 왜 그걸.
584.40,592.21,1,sad,sad,0.6904,negative,0.4407,0.0000,0.0000,-0.4407,-0.2204,overall_neutral,중립,중립,보통,0.072242,0.060981,7.800,5.385,216.105,32.274,0.861,했는지 막 이런 얘기를 하고 싶고 듣고 싶은데 그런 거 없이 실장님의 생각만 들으니까 못 따라가겠어요.
593.61,610.27,0,sad,sad,0.4136,positive,0.4999,0.0000,0.0000,0.4999,0.2499,overall_neutral,중립,공감/배려,피곤/권태,0.045126,0.054439,16.660,4.382,152.544,31.418,0.716,"어제 풀림님한테 잠깐 들은 얘기로는 어 마리킴 작가님도 이제는 조금 더 이 시점에서는 그 아바타에 좀 더 집중해야 한다라고 느끼시는 것 같기는 하고요. 아, 풀리도 동의를 하고."
610.68,628.87,0,sad,sad,0.7185,neutral,0.5188,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.042917,0.056270,18.193,4.287,178.155,48.787,0.475,근데 이제 지금 이 그 센트의 상황이 어떤지는 사실은 저도 인제 제가 인제 톡톡스이 알고 있는 건 아니고 그냥 통상 그까. 저희 추정이 제가 인제 한 열 세 개 정도 게임을 개발해서 런칭을 했거든요.
629.24,640.94,0,sad,sad,0.7963,neutral,0.5661,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.047608,0.060291,11.698,5.044,156.161,31.494,0.658,근데 지금까지 과거에 저의 경험을 유추해 봤을 때 어 아무리 작은 프로젝트라도 론칭 직전에 한 요 정도 시점에 상황을 유추해보면 그럴 거 같아요.
642.13,652.29,0,sad,sad,0.7333,neutral,0.5324,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.050616,0.055460,10.167,6.393,148.416,39.490,0.786,그니까 그리고 우리가 가지고 있는 멘파워드랑 이런 걸 다 추정해 봤을 때. 그리고 이제 뭐 지금 예를 들면 그건 알고 계시는지 모르겠는데. 그 아바타는 투디고.
652.57,659.87,0,sad,sad,0.8577,negative,0.5769,0.0000,0.0000,-0.5769,-0.2885,overall_negative,짜증/불만,중립,몰입/열정,0.064869,0.048504,7.300,9.041,169.115,40.079,0.777,지금 이제 배경 같은 경우는 쓰리디로 진행을 하고 있어요. 이 굉장히 어려운 거라고 저는 생각을 하거든요. 왜냐하면은 우리가 그거에 대한 레퍼런스가 없잖요.
659.87,667.36,0,sad,sad,0.7303,negative,0.7300,0.0000,0.0000,-0.7300,-0.3650,overall_negative,짜증/불만,중립,몰입/열정,0.061713,0.050380,7.490,7.477,171.629,37.715,0.655,경험적으로 레퍼런스가 없기 때문에 경험적으로 레퍼런스가 없는 거는 굉장히 다양한 변수에 대해서 대응하기가 되게 어려운 거거든요.
668.08,680.62,0,neu,neu,0.4622,neutral,0.4647,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.049035,0.059600,12.540,4.306,157.662,34.328,0.615,거기다가 어 아바타의 등신 또한 비율이 다르다는 것 자체가 이미 상당히 많은 변수를 내포하고 있을 것 같다라는 생각을 하고 있어요.
